Porcentajes,Teorema de Thales de Mileto,Teorema de Pitágoras,Teorema de Euclides,Notación científica,Radicales,Regla detres,Solución de problemas reales con ecuaciones de segundo grado,Semezanjas de triangulos,Ley de exponentes,División de números racionales,Resta de números racionales,Ecuaciones de segundo grado,Congruencia de trángulos,Relación métrica de la circunferencia,Solución de problemas reales con álgebra lineal,Solución de problemas reales con trigonometría,Modelado de funciones,Volúmen de un sólido en revolución,Suma de números racionales,Función Lineal,Función Cuadrática,Función Polinomial,Función Exponencial,Funciones Logarítmicas,Función Valor absoluto,Solución de sistemas de ecuaciones por matrices,División de polinomio entre monomio,División de polinomio entre polinomio,Factorización,Productos notables,Perímetros áreas y volúmenes,Ley de los Senos,Solución de trángulos rectángulos,Funciones Trigonométricas,Sólido de revolución,Mínimo común múltiplo,Máximo común divisor,Ecuaciones trigonometricas,Ley de los Cosenos,Regla de Cramer,Método de Gauss Jordan,Matriz Inversa,División de términos algebraicos,Razón y proporciones,Multiplicación de polinomios,Postulados y teoremas,Hipérbola,Optimizacion,Áreas bajo la curva,Común denominador,Ley de signos,Exponentes de números enteros elevados a números enteros,División aritmética de números enteros,Dominio y rango de una función,Identidades trigonométricas,Determinantes,Multiplicación de términos algebraicos,Multiplicación de números racionales,Exponentes de números racionales a numeros enteros,Solución de problemas reales con sistemas de ecuaciones,Cuadrilateros,Elipse,Razones de cambio relacionadas,Integral definida,Multiplicación aritmética de números enteros,Números racionales,Ángulos y sus razones trigonométricas,Triángulos,Transpuesta,Sistemas de ecuaciones,Suma y resta de terminos algebraicos,Circunferencia,Formas de expresar funciones matemáticas,Reglas de derivación,Métodos de integración,Tablas de multiplicar,Clasificación de los números,Operaciones aritméticas compuestas,Conceptos de funciones matemáticas,Razones trigonométricas,Polígonos,Operaciones con matrices,Métodos analíticos para la resolución de sistemas de ecuaciones,Ecuaciones de primer grado,Lenguaje común y lenguaje algebraico,Recta,Razón de cambio,Reglas de integración inmediatas,Suma aritmética de números enteros,Conjuntos Numericos,Matrices,Jerarquías de las operaciones aritméticas,Resta aritmética de números enteros,Círculo unitario,Ángulos,Ecuaciones algebraicas,Operaciones básicas del álgebra,Plano cartesiano,Desigualdades - inecuaciones,Derivada,Definición de la integral,Conjuntos,Triángulos rectángulos,Principios de la Geometría,Expresiones algebraicas,Operaciones Aritméticas,Tríangulos oblicuángulos,Fórmula general para ecuaciones de segundo grado,Sistema de n ecuaciones lineales con n incógnitas,Intervalos,Límites y continuidad,Antiderivadas,Aritmetica,Álgebra lineal,Álgebra,Trigonometría,Geometría,Funciones matemáticas,Cálculo Diferencial,Cálculo Integral,Matematicas
0,2,0,0,0,1,2,0,0,0,2,2,2,1,2,2,0,0,2,0,2,1,1,1,2,2,0,2,0,1,2,1,0,1,0,1,2,2,1,2,0,1,1,2,2,2,1,1,0,0,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,0,1,1,1,1,1,0,1,1,1,2,2,2,0,1,1,0,2,0,0,2,2,0,2,2,1,2,0,1,2,1,1,2,2,0,1,1,2,2,2,2,2,2,0,0,1,1,2,2,1,2,1,0
1,0,2,1,0,2,1,0,0,1,2,2,1,0,2,1,1,0,1,2,1,2,1,2,1,2,1,1,0,0,2,2,1,0,1,1,1,1,0,1,1,0,1,2,2,0,1,1,1,1,0,0,1,2,2,2,1,2,2,0,0,2,0,0,0,0,0,1,0,0,1,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,0,1,2,2,2,2,1,2,0,2,2,1,1,1,0,2,2,1,2,2,1,0,0,1,0,0,0,0,0,1,2,0,2,1,2
2,1,1,1,0,1,2,1,2,0,1,0,2,0,0,1,1,0,1,2,2,2,2,0,2,1,0,2,2,0,2,2,0,1,1,1,1,2,0,0,1,0,1,0,2,0,0,2,0,1,2,0,2,0,0,0,1,1,1,0,1,1,1,0,2,1,0,0,2,2,1,2,2,2,1,2,2,2,0,1,1,2,0,2,2,2,0,0,2,2,2,1,2,0,0,1,2,2,1,0,2,2,1,2,0,0,2,2,1,1,1,0,0,2,1,2,0,2,0,0,1,2
2,0,0,1,0,0,2,0,1,2,0,2,1,0,0,1,0,0,2,1,2,2,1,2,0,2,1,1,1,0,0,1,0,0,0,1,1,1,1,2,2,0,2,2,2,1,1,0,1,1,0,0,2,2,2,0,1,1,2,1,0,2,1,2,2,2,1,2,1,0,0,1,1,1,2,2,2,2,0,2,2,0,2,1,2,0,1,0,0,2,2,0,2,1,1,1,2,1,2,1,2,2,1,2,2,0,2,1,2,0,2,0,2,1,1,0,2,2,2,2,0,1
2,2,2,0,0,1,2,2,0,0,2,2,1,0,2,1,2,2,0,1,2,2,2,2,2,2,0,1,2,1,2,2,2,2,2,0,0,1,0,1,2,1,1,2,0,1,0,1,1,0,2,1,2,2,0,2,1,1,2,1,0,2,1,0,1,2,2,0,2,0,2,2,1,1,1,2,2,1,1,1,0,2,1,0,1,1,2,0,2,2,0,2,2,2,1,2,1,2,2,2,0,1,2,2,2,2,0,2,1,1,2,2,2,0,1,1,1,1,0,1,1,2
1,2,2,2,0,2,1,2,2,0,2,2,1,0,2,2,0,0,0,0,2,2,2,2,2,0,2,1,2,2,0,0,0,2,1,1,2,1,1,0,2,2,0,1,1,1,2,1,0,1,1,0,2,0,0,0,2,0,2,2,1,2,0,2,1,2,1,2,0,1,2,2,1,0,0,2,2,2,1,2,1,0,2,0,2,2,0,0,0,2,2,1,2,2,0,1,2,2,2,1,1,2,2,2,2,1,0,1,1,2,1,1,1,1,1,0,2,1,2,1,1,0
1,0,0,0,0,1,1,1,0,0,0,1,1,0,2,0,1,1,0,1,2,1,1,2,1,1,0,0,2,0,1,2,2,2,2,0,0,2,1,2,1,1,2,1,1,2,1,1,1,2,2,0,2,1,2,0,0,1,2,1,1,2,0,0,0,2,0,1,2,0,2,0,2,1,0,0,2,0,2,0,0,2,0,2,2,2,2,1,2,2,0,0,2,2,2,2,1,1,2,1,0,0,2,0,1,0,1,1,1,2,1,2,0,2,1,2,2,0,2,0,2,0
0,1,0,1,0,1,2,2,1,2,2,0,1,2,2,0,2,0,1,2,0,2,2,2,2,1,1,2,1,0,1,1,2,0,2,1,2,2,1,1,0,2,2,2,1,0,1,2,2,1,2,1,0,0,2,1,1,2,2,2,0,2,2,0,1,2,2,1,1,1,2,0,0,1,0,0,2,2,1,2,1,0,1,1,2,2,2,1,0,2,2,0,2,2,0,2,1,1,2,0,2,1,1,2,0,0,2,1,1,1,0,2,2,1,0,0,0,1,1,1,0,2
1,2,0,0,0,2,2,1,2,2,1,0,2,1,1,0,1,2,1,1,2,1,2,2,0,2,1,1,2,2,1,2,2,2,1,1,0,1,2,1,0,1,2,0,2,2,0,0,1,2,1,2,2,2,2,1,0,0,2,2,2,0,0,0,1,2,1,2,0,2,1,2,0,2,2,0,2,2,2,0,1,1,2,0,2,2,2,1,1,0,2,0,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,1,0,1,2,1,1,0,0,2
1,2,1,2,2,1,0,0,1,0,1,0,2,0,2,0,2,0,0,2,2,2,1,2,0,0,2,0,0,0,2,2,1,0,0,0,1,0,1,1,1,0,0,2,2,2,1,2,0,1,2,1,1,2,0,0,2,0,2,2,2,1,1,1,2,2,2,0,0,2,1,2,2,2,1,0,1,1,2,2,2,2,1,2,1,0,2,0,1,2,2,1,2,1,2,0,1,1,2,2,1,2,2,1,1,2,2,1,1,2,1,0,0,0,2,1,0,0,1,0,0,2
2,2,2,0,0,1,2,1,2,1,2,1,0,1,1,2,2,0,0,0,2,1,2,1,1,2,2,2,0,0,1,1,0,0,1,0,0,0,1,1,2,1,1,1,1,2,0,2,1,1,0,2,2,1,2,0,2,2,0,2,2,1,0,2,1,2,2,1,2,2,1,1,2,2,1,0,2,1,2,1,2,2,0,2,2,2,2,1,2,2,0,2,1,2,1,2,2,2,1,1,1,0,2,0,1,2,0,0,0,0,0,1,2,1,2,2,1,0,0,1,2,1
2,2,1,2,1,0,2,0,1,2,2,1,2,2,0,0,2,0,0,2,2,2,1,2,2,2,0,0,0,0,2,2,1,2,1,0,1,2,1,2,0,0,0,2,2,2,0,1,1,0,0,2,2,2,2,1,1,0,2,2,0,1,2,0,2,2,0,0,0,1,1,2,0,0,2,1,2,2,2,2,0,2,0,1,2,1,0,1,2,2,0,0,2,2,2,2,2,2,2,1,1,2,2,1,0,0,2,1,1,0,2,0,2,0,0,1,2,2,1,1,1,2
1,2,0,1,2,0,2,0,2,2,2,2,0,1,2,2,1,0,0,2,2,1,2,1,0,2,0,2,0,0,0,2,1,1,0,0,1,0,0,1,0,2,2,1,0,2,2,2,0,2,0,1,0,1,2,0,2,1,1,0,0,1,1,1,2,2,2,0,2,0,2,1,1,1,2,1,1,2,2,2,1,2,1,1,2,2,1,0,2,2,2,2,2,2,1,2,1,2,1,2,0,2,2,1,0,2,2,2,0,0,2,0,2,1,2,2,1,0,1,1,1,1
0,1,1,1,0,1,2,1,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,1,2,0,0,1,0,0,1,2,2,0,2,0,1,0,2,2,0,1,2,0,1,2,1,2,1,2,2,1,0,2,2,2,2,0,2,0,2,2,0,1,2,0,2,0,1,2,2,0,2,2,2,2,1,2,2,1,2,2,0,2,2,2,2,0,2,1,1,1,2,0,2,0,0,1,1,2,2,2,2,2,1,2,0,2,1,2,1,2,0,2,1,2,1,2
0,0,0,0,0,0,2,1,1,0,0,1,1,2,2,2,2,0,2,0,2,0,1,2,1,0,2,2,0,0,1,1,0,2,1,2,1,2,1,0,1,2,0,2,2,0,2,1,1,2,2,1,2,1,0,1,2,2,2,0,2,1,0,2,0,2,1,1,1,1,2,0,0,0,1,0,2,0,2,0,2,2,1,0,2,2,1,0,0,2,2,2,1,2,2,0,2,2,2,1,0,0,1,2,1,1,0,0,0,0,2,2,0,2,2,2,2,1,2,2,0,2
1,2,0,2,0,0,1,2,0,1,2,2,0,1,1,0,0,0,1,1,2,2,2,0,1,0,0,0,1,1,0,1,0,1,2,0,0,2,0,1,0,0,1,2,1,1,0,1,2,2,0,2,2,1,1,1,1,2,2,0,2,1,2,1,0,2,1,0,2,1,0,0,2,0,1,2,2,2,0,2,2,1,2,0,0,2,1,2,0,2,0,2,2,2,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,0,1,1,1,0,2,1,2,2,2,1,0
1,2,2,1,1,1,2,1,1,0,1,1,2,2,2,2,0,0,1,1,1,1,0,1,0,1,2,1,1,2,0,2,0,2,1,0,2,2,0,2,0,0,0,0,1,0,1,1,0,0,2,2,1,1,2,1,1,0,2,2,1,1,0,0,2,0,2,2,2,0,0,0,2,2,2,2,2,0,0,2,0,2,2,1,2,1,0,0,1,2,1,2,2,1,1,1,1,1,2,0,2,2,0,1,0,0,2,0,1,1,2,1,1,2,1,1,1,2,1,0,1,1
1,1,2,1,0,1,2,1,2,2,2,0,1,2,2,0,0,0,0,1,2,0,1,0,2,2,2,2,0,0,2,2,1,1,1,0,2,0,2,2,2,1,1,0,0,2,2,2,1,1,2,2,2,2,0,1,2,2,0,1,0,2,2,2,0,2,0,0,2,1,0,1,1,2,0,2,0,1,2,0,1,0,0,0,2,2,0,1,2,1,2,2,0,1,0,2,2,0,2,1,0,2,2,1,0,2,0,1,0,2,2,0,2,0,2,2,0,2,0,1,1,1
1,1,1,0,0,1,2,1,2,2,2,0,0,2,2,0,1,0,1,2,1,0,2,1,2,2,0,0,0,2,1,0,0,1,1,0,1,0,1,1,2,2,1,0,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,0,0,1,1,0,2,1,0,0,2,0,0,2,2,2,0,2,1,2,2,0,2,1,1,0,1,2,2,0,2,1,1,1,2,1,1,1,1,0,2,0,0,2,0,1,0,2,1,2,0,2
2,2,1,2,2,0,2,1,2,0,1,0,1,1,2,1,0,0,1,1,2,1,1,1,1,1,2,2,2,0,1,2,1,2,1,1,2,2,0,0,2,1,0,0,1,2,1,0,0,0,0,2,1,2,1,1,2,2,2,0,2,2,1,0,0,2,1,1,2,2,2,1,1,2,2,1,2,1,2,1,2,1,1,0,1,1,1,0,0,1,2,0,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,2,0,0,2,2,1,0,1,1,0,0,0
1,1,1,2,1,1,2,0,1,1,1,0,2,2,1,2,0,1,1,2,2,2,2,2,0,2,2,2,0,2,1,1,0,2,0,0,2,1,2,0,0,2,1,1,2,2,2,0,0,2,0,2,0,2,1,0,0,2,1,2,1,1,1,0,2,2,0,0,2,0,1,2,1,1,0,1,2,2,0,2,1,2,0,1,2,1,1,1,0,2,2,0,2,2,0,2,2,0,0,2,1,2,2,1,1,0,0,2,1,1,1,1,0,0,2,1,0,1,2,0,0,0
0,2,2,2,0,1,2,2,0,1,0,1,0,2,1,0,1,1,0,0,2,1,2,0,1,1,1,2,1,2,2,2,2,1,1,1,0,2,1,2,0,0,1,1,1,2,0,1,1,0,2,1,2,0,1,0,2,0,2,2,2,2,0,2,0,2,0,2,1,1,1,2,2,1,2,0,2,0,2,1,1,2,0,2,2,1,2,2,1,2,1,2,0,2,0,2,1,0,2,1,1,0,1,1,2,2,0,2,0,0,0,2,2,0,1,0,1,0,0,2,1,1
2,2,1,2,1,1,2,0,0,1,2,2,2,2,2,0,2,2,1,1,2,0,1,2,2,0,1,2,2,1,0,1,2,2,2,1,0,2,1,1,0,0,1,0,2,1,0,2,0,1,1,2,2,2,0,2,0,0,2,1,2,2,1,0,1,2,1,1,1,2,0,2,1,0,0,1,2,2,2,1,1,1,1,2,2,0,0,2,2,2,1,0,1,2,2,1,1,1,2,0,2,1,0,1,1,0,0,2,1,0,1,0,2,0,0,2,2,2,1,2,1,2
0,1,1,0,1,1,2,2,0,0,2,0,2,0,0,1,0,1,2,1,2,2,0,2,1,1,1,2,0,1,0,0,2,2,2,1,0,1,2,2,0,0,1,1,1,1,1,2,2,0,2,2,2,2,0,1,1,2,2,1,0,1,2,1,1,2,2,0,1,2,0,1,1,0,1,2,2,2,2,0,0,1,1,1,2,0,2,1,2,2,2,1,2,0,0,0,0,1,2,0,2,1,1,0,1,0,2,2,1,2,2,2,1,0,1,0,0,0,0,2,2,2
2,2,0,2,1,0,2,2,2,2,2,1,2,2,2,0,2,1,1,1,2,2,0,2,1,2,0,2,2,2,2,1,1,1,1,1,2,0,1,1,2,0,2,0,2,1,2,2,2,1,2,1,2,1,0,1,2,0,2,2,2,0,2,1,2,0,2,1,1,2,0,2,0,1,1,2,2,2,2,2,2,2,1,0,2,2,2,0,0,2,2,2,1,2,2,2,0,1,2,1,0,2,2,0,0,1,2,1,1,0,1,0,1,1,1,0,0,2,0,0,2,2
0,0,2,0,0,2,2,0,2,2,2,1,1,0,0,0,1,1,0,1,2,0,0,0,1,2,0,2,0,2,2,1,0,2,0,1,0,2,1,0,2,2,2,1,0,0,2,1,2,1,0,0,1,2,2,1,0,2,2,0,0,2,1,1,2,0,0,0,2,2,2,1,1,1,0,0,2,2,0,2,1,2,0,2,2,0,0,0,0,2,2,0,1,2,1,0,2,1,2,1,1,0,2,2,2,0,1,1,1,0,0,2,2,0,2,0,0,2,1,1,2,2
2,1,2,0,2,1,2,2,1,0,2,1,0,1,2,2,0,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,0,1,2,2,0,0,1,1,0,0,0,2,1,2,1,1,0,2,2,2,2,2,1,1,2,2,0,0,2,1,1,2,2,2,1,2,0,0,1,0,0,2,2,2,2,0,0,0,0,0,0,2,2,1,0,2,2,2,1,1,1,2,1,2,1,2,0,1,1,2,0,1,2,0,0,0,0,0,2,2,1,1,2,1,1,2,1,2,1
2,1,2,1,1,1,1,0,0,0,1,1,0,2,2,0,2,2,1,2,1,2,0,0,2,2,1,2,0,0,0,2,1,0,2,2,1,2,1,2,0,0,1,1,2,0,0,0,0,1,0,0,2,1,1,2,1,0,1,1,2,1,0,1,0,2,2,1,0,1,1,2,1,2,0,0,2,1,2,0,0,2,0,0,2,1,2,2,2,1,2,1,0,2,1,1,1,2,2,2,0,1,2,2,2,2,0,2,0,1,2,1,0,0,2,0,0,1,1,1,2,2
2,0,2,1,0,1,1,0,1,2,1,2,2,2,1,0,2,0,0,1,2,2,2,1,2,0,0,2,2,0,2,1,1,1,0,1,2,1,2,0,2,2,0,0,1,2,2,1,1,0,2,2,1,2,1,2,0,2,2,1,0,2,1,2,1,2,0,1,1,1,2,1,0,2,0,0,2,2,0,2,1,2,2,1,2,0,1,1,0,2,2,2,1,1,2,2,0,0,2,2,0,1,2,2,1,2,2,1,2,0,1,1,2,1,2,2,0,0,1,0,1,1
1,2,1,0,2,2,2,0,0,2,1,2,1,0,0,1,2,1,0,2,2,0,1,1,1,0,2,0,0,1,0,1,1,1,2,0,2,0,0,0,1,2,0,2,1,2,2,0,0,1,1,1,2,2,0,0,2,0,1,2,1,2,2,2,1,2,2,0,0,1,1,1,1,2,2,2,2,2,2,1,1,0,0,0,2,0,2,0,2,2,2,0,0,2,1,2,0,2,2,2,2,2,2,2,0,1,1,0,2,0,2,1,1,2,0,2,1,2,0,0,2,0
1,1,1,2,0,0,2,2,2,0,1,2,0,2,1,0,0,0,2,0,1,1,2,2,1,2,1,1,1,0,1,1,2,0,1,0,1,0,0,1,2,2,2,0,1,1,0,0,1,2,0,0,2,2,2,0,2,0,1,2,0,1,2,1,0,2,2,2,2,1,0,2,2,2,1,2,1,2,1,0,2,2,2,2,2,0,2,1,2,2,2,1,0,2,2,0,2,2,2,0,0,2,1,1,0,1,1,1,0,0,1,1,2,2,2,1,0,2,2,0,2,1
2,2,2,2,2,0,2,1,2,2,2,1,1,0,1,1,1,0,1,1,2,1,0,2,0,0,1,2,2,0,0,2,2,2,2,1,1,2,1,0,2,0,1,1,0,2,1,0,0,2,0,2,1,2,0,0,1,1,2,0,1,2,1,0,0,2,2,0,2,0,2,1,0,0,2,2,2,2,2,0,1,1,2,1,2,1,0,1,2,2,0,2,1,2,2,2,2,2,1,2,1,1,0,1,2,1,2,2,2,1,1,2,2,0,0,2,2,2,0,0,0,0
2,0,2,2,2,1,2,1,1,1,1,1,1,0,0,0,2,1,1,2,1,2,2,0,0,2,0,0,1,2,0,1,2,1,1,0,1,1,0,1,2,2,1,1,2,1,1,1,2,1,0,1,2,2,1,1,1,2,2,1,0,1,0,2,0,2,2,0,2,1,0,0,2,2,2,1,0,1,0,2,2,2,2,2,2,1,0,2,2,2,2,1,1,2,2,1,2,0,2,0,2,1,2,0,2,0,1,2,1,0,2,2,2,2,2,0,2,0,1,1,0,1
0,2,1,2,0,0,0,2,2,1,2,1,1,1,1,2,0,0,2,1,2,2,2,1,2,1,2,2,0,2,0,2,1,2,2,0,2,2,0,2,0,0,0,1,1,1,1,0,2,2,1,2,2,1,1,0,1,2,0,1,2,1,1,0,1,2,2,1,2,2,1,2,0,0,2,0,1,1,0,2,2,1,0,0,2,1,1,0,0,2,1,0,1,2,1,2,1,1,2,0,1,2,2,2,1,1,0,2,1,0,1,1,0,2,1,2,1,2,2,0,2,0
2,2,0,1,0,0,2,2,2,0,2,1,0,2,2,2,0,0,1,0,0,0,0,1,1,1,2,0,1,0,0,2,0,1,1,2,2,2,1,1,0,0,2,2,0,0,0,1,0,1,2,2,2,2,1,1,2,0,2,1,1,2,1,0,0,2,1,2,1,0,2,0,2,2,1,1,2,0,2,0,0,2,1,1,1,1,2,0,1,1,1,2,2,2,0,0,1,1,1,1,0,1,2,1,1,1,2,2,1,0,2,1,1,0,2,2,1,1,0,0,1,1
1,2,0,0,2,2,1,1,0,2,2,2,2,2,0,0,0,0,1,0,2,1,1,1,0,1,2,2,2,0,0,2,1,2,2,2,0,2,1,1,2,2,1,0,0,2,1,0,0,1,2,2,0,0,0,1,2,2,2,1,2,2,2,2,2,2,0,0,2,1,2,2,2,0,1,0,2,2,2,1,0,1,0,1,2,1,0,0,0,2,2,1,1,2,1,2,2,2,2,0,1,2,2,1,1,2,2,0,1,2,1,0,0,1,2,0,0,0,1,0,0,2
1,2,0,1,2,0,1,2,0,2,1,0,0,0,1,0,0,1,2,0,1,2,2,2,2,0,1,2,1,0,1,2,1,1,2,2,0,2,1,0,0,0,0,1,2,0,1,1,2,0,2,2,2,1,2,2,0,1,2,2,1,2,2,2,1,1,0,2,1,1,0,1,2,1,0,2,2,2,2,1,0,1,0,1,0,1,2,0,1,2,2,0,2,2,0,1,0,0,2,0,2,1,2,1,2,2,2,1,1,0,1,0,0,0,2,2,1,1,0,0,2,2
1,2,2,2,2,1,2,1,2,2,2,2,0,1,2,0,2,2,2,0,2,2,2,0,1,1,0,2,2,2,2,1,1,2,0,1,2,1,0,1,1,0,0,2,1,0,0,2,1,2,2,1,0,1,1,1,0,2,1,1,1,2,1,1,1,2,0,0,2,2,0,2,0,2,1,2,2,2,1,0,2,2,0,1,2,1,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,1,1,2,0,0,0,0,2,0,1,2,1,1,2,2,2,2,2,1,1,2
1,1,2,0,0,0,2,2,0,0,2,1,2,2,2,1,1,0,2,2,2,2,1,0,1,0,0,2,0,2,0,2,0,2,0,0,0,0,0,1,2,0,2,0,1,0,0,2,0,2,0,2,2,2,2,0,2,1,0,0,0,2,2,1,0,2,2,2,2,1,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,0,0,0,0,1,2,0,2,2,0,2,2,2,2,0,0,2,1,0,0,1,1,2,0,1,1,0,2,2,0,2,1,1,0,1,1,2
2,2,0,1,0,0,2,0,0,0,2,1,1,0,1,2,0,1,0,1,0,1,0,0,2,2,2,2,1,0,1,1,2,1,1,1,2,2,1,0,1,2,0,1,0,0,2,0,0,1,0,2,2,0,2,0,2,1,1,2,1,1,1,2,1,2,2,0,1,0,2,2,1,1,2,0,2,2,2,2,1,0,0,1,2,2,1,1,1,2,2,0,2,2,1,1,0,2,2,1,2,0,2,2,2,2,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,2
2,2,1,0,1,0,2,0,1,2,0,0,0,2,0,0,0,1,2,0,0,1,2,2,2,1,2,2,0,0,0,0,0,2,2,0,1,2,0,2,0,2,0,2,1,1,1,0,1,0,1,1,2,2,0,0,2,1,0,1,1,2,2,2,0,1,0,1,1,2,2,2,1,1,2,0,2,1,0,2,1,2,0,1,2,2,0,2,2,2,1,2,1,2,2,2,1,2,2,0,2,2,2,0,2,2,0,0,0,0,1,1,1,2,1,1,1,1,0,2,0,1
1,1,1,2,1,0,1,2,2,2,0,2,2,0,2,0,1,1,2,1,2,2,2,0,0,2,1,1,1,2,1,0,0,2,1,1,2,0,0,0,0,1,2,1,1,0,2,0,0,1,1,2,2,2,2,2,1,0,2,0,1,2,0,0,2,2,2,1,2,1,2,2,2,0,0,2,2,2,2,1,2,2,1,0,2,2,1,0,0,2,0,1,2,2,2,0,0,2,1,1,2,0,2,2,1,0,2,2,0,0,2,0,2,2,0,2,1,0,0,0,1,0
2,2,2,0,2,0,2,2,1,0,2,2,2,2,0,0,2,0,1,1,2,2,1,2,2,2,0,2,2,2,1,2,0,2,1,2,0,2,0,2,0,0,0,0,1,0,1,0,1,2,2,2,2,1,2,1,1,1,2,0,1,0,2,0,1,2,0,0,2,2,2,2,1,2,0,2,0,2,0,0,0,1,2,0,2,2,2,2,1,2,2,2,1,2,1,1,2,0,1,2,1,1,2,1,0,2,2,2,1,1,1,0,2,0,1,0,0,2,2,0,1,2
2,1,1,0,0,0,0,2,2,1,1,1,2,2,1,0,1,0,1,1,2,1,2,0,1,2,1,1,1,1,1,2,0,1,1,0,2,1,2,1,1,2,0,0,0,2,1,2,0,2,2,1,2,2,1,0,2,2,0,2,2,1,1,0,0,2,2,1,2,0,1,0,0,0,1,2,2,2,2,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,0,0,2,0
0,1,0,2,1,0,2,2,0,1,2,0,1,0,0,0,2,0,0,0,2,2,0,1,1,2,0,2,0,2,1,1,0,2,1,1,0,2,1,2,0,1,1,1,1,0,0,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,0,0,0,2,0,0,1,0,2,2,2,0,1,1,2,2,2,2,2,1,2,2,2,2,2,0,2,2,2,0,2,2,1,0,2,2,0,0,1,2,2,2,0,1,2,2,2,2,1,0,1,0,2,1,0,0,0,0,0,2
2,2,1,2,2,0,1,0,1,1,0,0,1,1,2,0,2,1,1,2,1,0,1,2,2,0,2,1,1,2,2,0,1,1,2,1,2,0,0,1,0,1,2,0,0,1,1,1,0,1,2,2,1,2,2,1,2,1,1,0,1,0,2,0,2,2,0,0,2,1,0,2,0,0,0,0,2,2,2,0,1,1,1,1,2,1,0,1,1,2,2,1,2,2,1,0,1,0,2,0,2,0,2,2,1,2,0,0,1,2,2,1,0,2,1,2,1,0,1,2,1,2
1,2,2,1,1,0,2,0,1,0,2,0,2,1,0,1,0,1,1,1,1,1,1,1,1,2,0,2,2,2,0,2,2,1,2,1,2,0,1,1,2,0,2,2,1,0,0,2,2,1,1,2,2,2,2,1,2,0,0,1,0,1,0,2,1,2,1,2,1,2,0,1,0,2,0,2,2,0,1,1,2,0,2,1,2,0,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,1,0,1,2,0,2,2,1,0,1,2,2,1,0
1,0,1,2,0,1,2,1,1,0,1,0,2,0,1,1,2,0,2,0,2,2,2,2,2,2,0,2,0,2,1,1,2,1,0,2,0,0,1,1,0,2,0,0,1,1,2,1,0,2,1,2,2,2,2,0,2,0,2,1,2,2,2,2,2,2,0,0,1,2,1,1,2,0,1,0,2,2,0,1,2,2,1,1,0,1,1,2,1,2,2,2,2,2,2,0,0,2,1,1,2,2,2,0,1,0,0,1,0,0,2,0,2,2,2,2,0,0,2,1,2,0
2,1,2,2,2,1,2,1,1,2,1,2,2,2,0,0,0,0,2,1,0,1,1,2,1,2,0,2,2,2,2,2,0,1,0,0,1,0,1,0,2,1,2,0,1,1,1,0,0,2,2,0,1,2,1,1,1,2,2,2,0,2,1,1,0,2,2,0,0,1,0,2,1,0,1,2,2,1,2,1,1,1,1,1,2,2,0,0,2,2,2,0,2,2,0,2,1,1,2,1,2,1,2,0,1,1,0,0,1,2,1,0,1,2,1,2,0,2,0,0,0,0
0,2,0,0,2,0,0,2,0,2,1,1,1,0,2,0,0,1,1,0,0,2,2,1,1,0,1,2,1,0,1,2,0,1,1,1,2,0,1,1,0,0,0,1,2,2,2,1,0,0,2,2,2,0,2,1,0,0,2,2,0,2,1,2,2,2,2,2,1,0,2,2,0,1,1,1,2,2,0,1,1,2,0,2,0,2,0,2,0,2,2,1,2,1,0,2,0,1,1,1,1,0,1,1,2,0,2,1,1,0,1,2,2,0,2,1,1,1,2,1,2,2
0,0,0,2,1,0,2,2,0,1,2,0,2,1,2,0,1,0,1,2,0,2,1,2,1,1,2,2,1,0,1,2,1,2,0,0,2,2,0,0,0,1,0,2,0,1,2,0,1,0,2,2,0,2,0,0,0,2,2,1,1,2,1,0,1,2,0,1,2,1,2,2,0,1,0,2,2,2,2,2,2,1,2,2,2,1,0,0,1,2,0,2,2,0,1,0,1,1,1,2,0,1,2,2,1,2,2,0,2,0,2,2,0,2,1,1,0,2,0,1,0,1
